kernel,C,degree,rmse
linear,3.0517578125e-05,3,0.42682111926233285
linear,0.000244140625,3,0.38449132567260746
linear,0.001953125,3,0.33024169416242605
linear,0.015625,3,0.26137348840908
linear,0.125,3,0.1978466051586968
linear,1.0,3,0.16567900364899316
linear,8.0,3,0.09735548064197028
linear,64.0,3,0.0
linear,512.0,3,0.0
linear,4096.0,3,0.0
linear,32768.0,3,0.0
polynomial,3.0517578125e-05,2,0.5406881477038816
polynomial,3.0517578125e-05,3,0.3754203290136679
polynomial,3.0517578125e-05,4,0.3171217802914274
polynomial,3.0517578125e-05,5,0.30424535953506565
polynomial,0.000244140625,2,0.3589949864488653
polynomial,0.000244140625,3,0.32078804983936665
polynomial,0.000244140625,4,0.27781060039136013
polynomial,0.000244140625,5,0.223000442689437
polynomial,0.001953125,2,0.345363893033886
polynomial,0.001953125,3,0.23325243023120715
polynomial,0.001953125,4,0.18664151902069787
polynomial,0.001953125,5,0.18026732160270725
polynomial,0.015625,2,0.2202232428945224
polynomial,0.015625,3,0.18264159369625374
polynomial,0.015625,4,0.1747193007995561
polynomial,0.015625,5,0.17294904945541978
polynomial,0.125,2,0.17647179501619603
polynomial,0.125,3,0.13542791018732278
polynomial,0.125,4,0.14251383099065745
polynomial,0.125,5,0.15572134842560895
polynomial,1.0,2,0.0543526425198644
polynomial,1.0,3,0.06469258440963108
polynomial,1.0,4,0.08593907360584258
polynomial,1.0,5,0.13127410331771838
polynomial,8.0,2,0.0
polynomial,8.0,3,0.019216561050602196
polynomial,8.0,4,0.07524782622802687
polynomial,8.0,5,0.10228795722856678
polynomial,64.0,2,0.0
polynomial,64.0,3,0.011094686695464057
polynomial,64.0,4,0.06373412276580526
polynomial,64.0,5,0.09985218025917651
polynomial,512.0,2,0.0
polynomial,512.0,3,0.0271763212599322
polynomial,512.0,4,0.06839224202407222
polynomial,512.0,5,0.09013366080135363
polynomial,4096.0,2,0.0
polynomial,4096.0,3,0.0271763212599322
polynomial,4096.0,4,0.061772601199769156
polynomial,4096.0,5,0.08593907360584258
polynomial,32768.0,2,0.0
polynomial,32768.0,3,0.0271763212599322
polynomial,32768.0,4,0.061772601199769156
polynomial,32768.0,5,0.08735965039977805
rbf,3.0517578125e-05,3,0.8884066474569468
rbf,0.000244140625,3,0.8884066474569468
rbf,0.001953125,3,0.3903690384926651
rbf,0.015625,3,0.30766508420264393
rbf,0.125,3,0.06563705165885919
rbf,1.0,3,0.0271763212599322
rbf,8.0,3,0.0
rbf,64.0,3,0.0
rbf,512.0,3,0.0
rbf,4096.0,3,0.0
rbf,32768.0,3,0.0
