k,euclidean,manhattan
1,0.571144224375586,0.571144224375586
3,0.4785768369833219,0.4785768369833219
5,0.45417165410240945,0.45417165410240945
7,0.4396179251543949,0.4396179251543949
9,0.43425590474087306,0.43425590474087306
11,0.43171366841846587,0.43171366841846587
13,0.42886663792552465,0.42886663792552465
15,0.4267852784823404,0.4267852784823404
17,0.4247666475674729,0.4247666475674729
19,0.42345200613254497,0.42345200613254497
21,0.4215871166672568,0.4215871166672568
23,0.42138838417618907,0.42138838417618907
25,0.42010955098479497,0.42010955098479497
27,0.4191654120375602,0.4191654120375602
29,0.4196891140719088,0.4196891140719088
31,0.4191221705611957,0.4191221705611957
33,0.4181194363715114,0.4181194363715114
35,0.41825824924452387,0.41825824924452387
37,0.41795762634574674,0.41795762634574674
39,0.41791045426138007,0.41791045426138007
41,0.41761465535718684,0.41761465535718684
43,0.41740266142278887,0.41740266142278887
45,0.4171958376012048,0.4171958376012048
47,0.41679940580427843,0.41679940580427843
49,0.4166530909888709,0.4166530909888709
